Year,Month,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags
2010,1,3-Jan-10,0.75,25634496,11234727,12944724,292242,1162803
2009,12,27-Dec-09,0.98,15524472,6259779,7815317,225229,1224147
2009,12,20-Dec-09,0.96,14454753,6184657,6676609,186034,1407453
2009,12,13-Dec-09,0.89,15795808,6672256,7691035,154911,1277606
2009,12,6-Dec-09,0.90,16288987,6688808,8458150,160290,981739
2009,11,29-Nov-09,0.99,12926400,5521588,6153961,142605,1108246
2009,11,22-Nov-09,0.91,15168198,5988332,7954520,161346,1064000
2009,11,15-Nov-09,0.85,18360885,7301943,9717305,175821,1165816
2009,11,8-Nov-09,0.90,17290762,7646476,8170345,186966,1286975
2009,11,1-Nov-09,0.93,17470403,7118148,8927724,150997,1273534
2009,10,25-Oct-09,0.92,17985488,8108729,8630434,161404,1084921
2009,10,18-Oct-09,0.96,16638920,7353133,8040278,160829,1084680
2009,10,11-Oct-09,0.98,16047998,6066077,8790478,149602,1041841
2009,10,4-Oct-09,1.02,15345639,6028161,8123731,140808,1052939
2009,9,27-Sep-09,0.93,17874170,7776637,8910300,146135,1041098
2009,9,20-Sep-09,0.86,20860332,9347602,10267731,165669,1079330
2009,9,13-Sep-09,0.99,18880156,9043644,8582736,179202,1074574
2009,9,6-Sep-09,0.99,20866919,8738965,10711318,267796,1148840
2009,8,30-Aug-09,1.22,14618637,5542621,7837658,315308,923050
2009,8,23-Aug-09,1.28,14235807,5825536,7195475,349363,865433
2009,8,16-Aug-09,1.37,13390643,5609628,6568592,354390,858033
2009,8,9-Aug-09,1.40,13060777,5044006,6742266,374085,900420
2009,8,2-Aug-09,1.39,13101733,5036394,6784385,377815,903139
2009,7,26-Jul-09,1.42,12837392,4921855,6623541,398367,893629
2009,7,19-Jul-09,1.36,13971548,5652786,7028673,372986,917103
2009,7,12-Jul-09,1.32,14596972,6001477,7155850,480607,959038
2009,7,5-Jul-09,1.32,17352341,6979781,8736511,636175,999874
2009,6,28-Jun-09,1.28,15142817,6539693,7201243,480087,921794
2009,6,21-Jun-09,1.25,15811212,6769046,7542057,579707,920402
2009,6,14-Jun-09,1.25,15387085,6608517,7260443,631232,886893
2009,6,7-Jun-09,1.15,17376236,7722444,8257579,535198,861015
2009,5,31-May-09,1.15,17667656,7890352,8359239,468343,949722
2009,5,24-May-09,1.16,18216433,7984724,8694228,586513,950968
2009,5,17-May-09,1.14,16294746,7384529,7443075,502984,964158
2009,5,10-May-09,1.01,20143395,8636339,9909100,627658,970298
2009,5,3-May-09,0.97,22665228,9646990,11575332,545350,897556
2009,4,26-Apr-09,1.11,16199356,6911860,7589997,574410,1123089
2009,4,19-Apr-09,1.05,16500463,7433559,7542829,492691,1031384
2009,4,12-Apr-09,1.05,17841747,7645762,8500286,708524,987175
2009,4,5-Apr-09,1.01,18173009,6965661,9623216,603380,980752
2009,3,29-Mar-09,1.02,16417627,7282259,7608591,385120,1141657
2009,3,22-Mar-09,0.97,17649594,7747494,8409223,421647,1071230
2009,3,15-Mar-09,1.04,16250797,7365495,7348989,499441,1036872
2009,3,8-Mar-09,1.01,16150575,7070724,7911424,415691,752736
2009,3,1-Mar-09,1.02,16213338,6571237,8330950,376349,934802
2009,2,22-Feb-09,1.00,16354419,7115143,7843292,369843,1026141
2009,2,15-Feb-09,1.04,14397251,6855520,6024323,522383,995025
2009,2,8-Feb-09,0.92,18794097,9230846,8232709,339463,991079
2009,2,1-Feb-09,0.85,26738155,12352795,12882245,514512,988603
2009,1,25-Jan-09,1.02,15538936,7156844,7141216,319643,921233
2009,1,18-Jan-09,1.03,15776918,6466818,8132101,323055,854944
2009,1,11-Jan-09,1.03,15445986,6780065,7539141,291422,835358
2009,1,4-Jan-09,1.03,21595276,6441866,13033354,501055,1619001
2008,12,28-Dec-08,1.10,15743693,5782695,7914843,505303,1540852
2008,12,21-Dec-08,1.11,14135357,4935545,6945272,681333,1573207
2008,12,14-Dec-08,1.04,14255308,5028002,7362639,306018,1558649
2008,12,7-Dec-08,1.02,15287633,5670437,7962006,258700,1396490
2008,11,30-Nov-08,1.20,11745045,4056036,5874327,235203,1579479
2008,11,23-Nov-08,1.13,13371313,4662411,6559477,317624,1831801
2008,11,16-Nov-08,1.06,15367010,6146470,7038243,445601,1736696
2008,11,9-Nov-08,0.99,16706479,6537309,7968560,419699,1780911
2008,11,2-Nov-08,1.12,15116732,5231991,7996613,456743,1431385
2008,10,26-Oct-08,1.14,14156385,4751637,7516147,397850,1490751
2008,10,19-Oct-08,1.12,16701582,5598835,9110455,391481,1600811
2008,10,12-Oct-08,1.17,14326342,5458360,6708740,412641,1746601
2008,10,5-Oct-08,1.18,14407889,5502002,6513520,495667,1896700
2008,9,28-Sep-08,1.20,14226016,5589854,6242857,453646,1939659
2008,9,21-Sep-08,1.26,14206927,5104618,6664666,494354,1943289
2008,9,14-Sep-08,1.28,14118739,4861191,6729039,444525,2083984
2008,9,7-Sep-08,1.30,14996451,4878866,7330500,512923,2274162
2008,8,31-Aug-08,1.32,14982178,5028008,7130213,532221,2291736
2008,8,24-Aug-08,1.25,15211362,5730299,6849214,414413,2217436
2008,8,17-Aug-08,1.25,16288373,5372891,8323839,395470,2196173
2008,8,10-Aug-08,1.28,15935181,5856850,7238413,654257,2185661
2008,8,3-Aug-08,1.30,15080677,5437723,6662683,775414,2204857
2008,7,27-Jul-08,1.30,14988979,5304990,6701795,799789,2182405
2008,7,20-Jul-08,1.27,15832456,5860301,7166217,730055,2075883
2008,7,13-Jul-08,1.24,16316050,6223124,7161420,694048,2237458
2008,7,6-Jul-08,1.26,19449921,6484527,9597905,808593,2558896
2008,6,29-Jun-08,1.23,16138377,6344305,7059325,645677,2089070
2008,6,22-Jun-08,1.14,18186075,7882082,7219209,730765,2354019
2008,6,15-Jun-08,1.21,17252020,6542338,7465551,831008,2413123
2008,6,8-Jun-08,1.20,16716262,6737073,6956131,627189,2395869
2008,6,1-Jun-08,1.18,17305538,6248343,8228928,433317,2394950
2008,5,25-May-08,1.20,17907294,6328907,8761950,622017,2194420
2008,5,18-May-08,1.14,17646586,6516924,8274549,663198,2191915
2008,5,11-May-08,1.09,19317800,6644686,10105334,558196,2009584
2008,5,4-May-08,0.98,24999197,8971278,13663883,460067,1903969
2008,4,27-Apr-08,1.22,15385575,4934673,7631351,579007,2240544
2008,4,20-Apr-08,1.21,15179164,5595585,6904647,670374,2008558
2008,4,13-Apr-08,1.14,16590994,5795030,8162392,629525,2004047
2008,4,6-Apr-08,1.12,15793022,5307751,8156925,466869,1861477
2008,3,30-Mar-08,1.11,16215322,5553332,8409561,675086,1577343
2008,3,23-Mar-08,1.14,15822889,6506403,6971138,631731,1713617
2008,3,16-Mar-08,1.15,15080969,5567945,7465519,453177,1594328
2008,3,9-Mar-08,1.18,14874931,4726442,8120350,504572,1523567
2008,3,2-Mar-08,1.08,16420049,5479602,8775453,622954,1542040
2008,2,24-Feb-08,1.11,15243500,5439829,7607614,539081,1656976
2008,2,17-Feb-08,1.13,14020127,5238145,6644649,515927,1621406
2008,2,10-Feb-08,1.07,15993847,5809921,8139160,511895,1532871
2008,2,3-Feb-08,0.99,24552315,8432446,13975981,576011,1567877
2008,1,27-Jan-08,1.14,13986606,4399062,7666419,394595,1526530
2008,1,20-Jan-08,1.12,15108355,4501478,8483182,434182,1689513
2008,1,13-Jan-08,1.14,15239528,4543425,8630487,340374,1725242
